row_index,actual,predicted
3156,Abnormal,Abnormal
214,Abnormal,Normal
2313,Abnormal,Normal
1453,Abnormal,Abnormal
2640,Abnormal,Abnormal
3783,Abnormal,Abnormal
4047,Abnormal,Abnormal
3802,Abnormal,Abnormal
220,Abnormal,Abnormal
2521,Abnormal,Abnormal
4186,Abnormal,Abnormal
4304,Abnormal,Abnormal
4798,Abnormal,Abnormal
4855,Abnormal,Abnormal
1500,Abnormal,Normal
4431,Abnormal,Abnormal
3998,Abnormal,Abnormal
478,Abnormal,Abnormal
3779,Abnormal,Normal
668,Abnormal,Abnormal
4989,Abnormal,Abnormal
534,Abnormal,Normal
2703,Abnormal,Normal
1501,Abnormal,Normal
3778,Abnormal,Abnormal
1116,Abnormal,Abnormal
1276,Abnormal,Abnormal
378,Abnormal,Abnormal
822,Abnormal,Abnormal
2744,Abnormal,Abnormal
4193,Abnormal,Abnormal
880,Abnormal,Abnormal
3155,Abnormal,Abnormal
4307,Abnormal,Normal
677,Abnormal,Abnormal
2608,Abnormal,Normal
533,Abnormal,Abnormal
4033,Abnormal,Abnormal
3782,Abnormal,Normal
3436,Abnormal,Normal
2732,Abnormal,Normal
2312,Abnormal,Normal
2574,Abnormal,Abnormal
3804,Abnormal,Normal
4419,Abnormal,Abnormal
482,Abnormal,Abnormal
3216,Abnormal,Abnormal
1502,Abnormal,Normal
3723,Abnormal,Abnormal
898,Abnormal,Abnormal
2895,Abnormal,Abnormal
4433,Abnormal,Normal
4806,Abnormal,Normal
2734,Abnormal,Abnormal
3017,Abnormal,Abnormal
1499,Abnormal,Normal
4305,Abnormal,Abnormal
3365,Abnormal,Abnormal
3692,Abnormal,Normal
4640,Abnormal,Normal
4779,Abnormal,Abnormal
3405,Abnormal,Abnormal
2709,Abnormal,Abnormal
1926,Abnormal,Abnormal
2882,Abnormal,Normal
3686,Abnormal,Abnormal
4980,Abnormal,Normal
2583,Abnormal,Abnormal
3722,Abnormal,Abnormal
4784,Abnormal,Abnormal
1591,Abnormal,Abnormal
3435,Abnormal,Normal
2704,Abnormal,Normal
1597,Abnormal,Abnormal
4805,Abnormal,Abnormal
4012,Normal,Normal
1122,Normal,Normal
306,Normal,Abnormal
2138,Normal,Abnormal
1787,Normal,Normal
4856,Normal,Normal
3860,Normal,Normal
3625,Normal,Normal
1405,Normal,Normal
2181,Normal,Normal
4233,Normal,Normal
4234,Normal,Abnormal
1913,Normal,Normal
3825,Normal,Abnormal
184,Normal,Normal
3493,Normal,Normal
2962,Normal,Normal
4655,Normal,Abnormal
1149,Normal,Normal
2185,Normal,Abnormal
4674,Normal,Normal
2106,Normal,Normal
4469,Normal,Normal
2415,Normal,Normal
240,Normal,Normal
3016,Normal,Abnormal
4371,Normal,Normal
3352,Normal,Normal
3129,Normal,Normal
4137,Normal,Normal
4486,Normal,Normal
2938,Normal,Abnormal
35,Normal,Abnormal
3223,Normal,Normal
4270,Normal,Normal
554,Normal,Normal
806,Normal,Normal
4023,Normal,Normal
3318,Normal,Normal
2405,Normal,Abnormal
649,Normal,Normal
4731,Normal,Normal
4204,Normal,Normal
360,Normal,Normal
398,Normal,Normal
3354,Normal,Normal
4076,Normal,Normal
4035,Normal,Normal
2897,Normal,Abnormal
1767,Normal,Normal
954,Normal,Normal
1002,Normal,Normal
4821,Normal,Normal
161,Normal,Normal
2344,Normal,Abnormal
3572,Normal,Normal
1421,Normal,Normal
2909,Normal,Abnormal
2406,Normal,Abnormal
2170,Normal,Normal
364,Normal,Normal
258,Normal,Normal
1100,Normal,Normal
2186,Normal,Abnormal
2044,Normal,Normal
2770,Normal,Normal
3631,Normal,Normal
3532,Normal,Normal
297,Normal,Normal
2413,Normal,Normal
2905,Normal,Normal
325,Normal,Abnormal
4129,Normal,Abnormal
2505,Normal,Normal
3438,Normal,Abnormal
